Column1,Content ID,ReactionType,Datetime,Datetime,Year,Month,Content Type,Category,Sentiment,Score,count post,,Category,Sum,,,
29,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,28/08/2020,28/08/2020 03:57,2020,8,photo,Studying,positive,75,2114,,,,,,
30,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,25/08/2020,25/08/2020 08:21,2020,8,photo,Studying,positive,45,2114,,,,,,
31,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,20/04/2021,20/04/2021 23:48,2021,4,photo,Studying,negative,15,1974,,,,,,
32,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,07/03/2021,07/03/2021 12:40,2021,3,photo,Studying,positive,30,2012,,,,,,
33,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,24/05/2021,24/05/2021 03:21,2021,5,photo,Studying,neutral,20,2138,,,,,,
34,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,24/01/2021,24/01/2021 11:03,2021,1,photo,Studying,positive,75,2126,,,,,,
35,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,09/04/2021,09/04/2021 02:46,2021,4,photo,Studying,negative,0,1974,,,,,,
36,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,02/02/2021,02/02/2021 03:43,2021,2,photo,Studying,positive,75,1914,,,,,,
37,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,04/02/2021,04/02/2021 03:06,2021,2,photo,Studying,positive,30,1914,,,,,,
38,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,09/11/2020,09/11/2020 02:49,2020,11,photo,Studying,negative,10,2034,,,,,,
39,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,29/09/2020,29/09/2020 16:00,2020,9,photo,Studying,negative,15,2022,,,,,,
40,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,29/11/2020,29/11/2020 21:33,2020,11,photo,Studying,negative,10,2034,,,,,,
41,97522e57-d9ab-4bd6-97bf-c24d952602d2,want,13/02/2021,13/02/2021 07:54,2021,2,photo,Studying,positive,70,1914,,,,,,
42,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,14/07/2020,14/07/2020 05:28,2020,7,photo,Studying,positive,30,2070,,,,,,
43,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,23/08/2020,23/08/2020 10:30,2020,8,photo,Studying,neutral,20,2114,,,,,,
44,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,10/05/2021,10/05/2021 09:27,2021,5,photo,Studying,negative,12,2138,,,,,,
45,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,15/03/2021,15/03/2021 03:59,2021,3,photo,Studying,negative,5,2012,,,,,,
47,9f737e0a-3cdd-4d29-9d24-753f4e3be810,dislike,25/06/2020,25/06/2020 17:01,2020,6,photo,healthy eating,negative,10,2021,,,,,,
48,9f737e0a-3cdd-4d29-9d24-753f4e3be810,intrigued,13/09/2020,13/09/2020 00:11,2020,9,photo,healthy eating,positive,45,2022,,,,,,
49,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,20/08/2020,20/08/2020 18:17,2020,8,photo,healthy eating,neutral,35,2114,,,,,,
50,9f737e0a-3cdd-4d29-9d24-753f4e3be810,scared,11/02/2021,11/02/2021 04:53,2021,2,photo,healthy eating,negative,15,1914,,,,,,
51,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,08/03/2021,08/03/2021 10:40,2021,3,photo,healthy eating,negative,5,2012,,,,,,
52,9f737e0a-3cdd-4d29-9d24-753f4e3be810,disgust,28/03/2021,28/03/2021 21:15,2021,3,photo,healthy eating,negative,0,2012,,,,,,
53,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,25/05/2021,25/05/2021 01:00,2021,5,photo,healthy eating,negative,5,2138,,,,,,
54,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,15/03/2021,15/03/2021 12:17,2021,3,photo,healthy eating,positive,50,2012,,,,,,
55,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,05/05/2021,05/05/2021 16:26,2021,5,photo,healthy eating,positive,65,2138,,,,,,
56,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,31/08/2020,31/08/2020 00:21,2020,8,photo,healthy eating,positive,65,2114,,,,,,
57,9f737e0a-3cdd-4d29-9d24-753f4e3be810,heart,16/06/2021,16/06/2021 03:02,2021,6,photo,healthy eating,positive,60,2021,,,,,,
58,9f737e0a-3cdd-4d29-9d24-753f4e3be810,indifferent,07/07/2020,07/07/2020 10:52,2020,7,photo,healthy eating,neutral,20,2070,,,,,,
59,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,20/08/2020,20/08/2020 07:59,2020,8,photo,healthy eating,neutral,35,2114,,,,,,
60,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,23/09/2020,23/09/2020 11:15,2020,9,photo,healthy eating,positive,65,2022,,,,,,
61,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,24/03/2021,24/03/2021 05:56,2021,3,photo,healthy eating,positive,50,2012,,,,,,
63,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,07/12/2020,07/12/2020 19:13,2020,12,photo,healthy eating,negative,5,2092,,,,,,
64,230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,03/08/2020,03/08/2020 16:41,2020,8,photo,healthy eating,positive,75,2114,,,,,,
65,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,10/01/2021,10/01/2021 15:36,2021,1,photo,healthy eating,positive,72,2126,,,,,,
66,230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,20/09/2020,20/09/2020 08:48,2020,9,photo,healthy eating,negative,15,2022,,,,,,
67,230c4e4d-70c3-461d-b42c-ec09396efb3f,cherish,20/07/2020,20/07/2020 14:06,2020,7,photo,healthy eating,positive,70,2070,,,,,,
68,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,24/10/2020,24/10/2020 12:15,2020,10,photo,healthy eating,positive,72,2056,,,,,,
69,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,06/06/2021,06/06/2021 01:27,2021,6,photo,healthy eating,positive,30,2021,,,,,,
70,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,25/12/2020,25/12/2020 00:09,2020,12,photo,healthy eating,positive,60,2092,,,,,,
71,230c4e4d-70c3-461d-b42c-ec09396efb3f,like,14/06/2021,14/06/2021 07:56,2021,6,photo,healthy eating,positive,50,2021,,,,,,
72,230c4e4d-70c3-461d-b42c-ec09396efb3f,like,05/06/2021,05/06/2021 18:00,2021,6,photo,healthy eating,positive,50,2021,,,,,,
73,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,18/11/2020,18/11/2020 23:37,2020,11,photo,healthy eating,negative,5,2034,,,,,,
74,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,09/05/2021,09/05/2021 02:42,2021,5,photo,healthy eating,positive,30,2138,,,,,,
75,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,11/05/2021,11/05/2021 08:38,2021,5,photo,healthy eating,negative,10,2138,,,,,,
76,230c4e4d-70c3-461d-b42c-ec09396efb3f,peeking,12/11/2020,12/11/2020 08:00,2020,11,photo,healthy eating,neutral,35,2034,,,,,,
77,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,21/06/2020,21/06/2020 16:57,2020,6,photo,healthy eating,positive,60,2021,,,,,,
78,230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,04/03/2021,04/03/2021 23:58,2021,3,photo,healthy eating,positive,75,2012,,,,,,
79,230c4e4d-70c3-461d-b42c-ec09396efb3f,want,09/07/2020,09/07/2020 16:47,2020,7,photo,healthy eating,positive,70,2070,,,,,,
80,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,01/08/2020,01/08/2020 19:16,2020,8,photo,healthy eating,negative,5,2114,,,,,,
81,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,23/11/2020,23/11/2020 22:46,2020,11,photo,healthy eating,negative,10,2034,,,,,,
82,230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,11/12/2020,11/12/2020 14:08,2020,12,photo,healthy eating,negative,15,2092,,,,,,
83,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,23/04/2021,23/04/2021 23:41,2021,4,photo,healthy eating,negative,10,1974,,,,,,
84,230c4e4d-70c3-461d-b42c-ec09396efb3f,want,13/11/2020,13/11/2020 00:33,2020,11,photo,healthy eating,positive,70,2034,,,,,,
85,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,09/06/2021,09/06/2021 10:13,2021,6,photo,healthy eating,positive,30,2021,,,,,,
86,230c4e4d-70c3-461d-b42c-ec09396efb3f,love,29/10/2020,29/10/2020 19:41,2020,10,photo,healthy eating,positive,65,2056,,,,,,
87,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,14/05/2021,14/05/2021 12:47,2021,5,photo,healthy eating,positive,60,2138,,,,,,
88,230c4e4d-70c3-461d-b42c-ec09396efb3f,disgust,04/08/2020,04/08/2020 05:40,2020,8,photo,healthy eating,negative,0,2114,,,,,,
89,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,07/08/2020,07/08/2020 04:09,2020,8,photo,healthy eating,positive,72,2114,,,,,,
90,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,23/10/2020,23/10/2020 21:19,2020,10,photo,healthy eating,positive,72,2056,,,,,,
91,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,14/11/2020,14/11/2020 23:53,2020,11,photo,healthy eating,positive,72,2034,,,,,,
92,230c4e4d-70c3-461d-b42c-ec09396efb3f,worried,04/08/2020,04/08/2020 19:26,2020,8,photo,healthy eating,negative,12,2114,,,,,,
93,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,12/11/2020,12/11/2020 04:54,2020,11,photo,healthy eating,positive,30,2034,,,,,,
95,356fff80-da4d-4785-9f43-bc1261031dc6,worried,03/04/2021,03/04/2021 12:17,2021,4,photo,technology,negative,12,1974,,,,,,
96,356fff80-da4d-4785-9f43-bc1261031dc6,want,27/09/2020,27/09/2020 22:15,2020,9,photo,technology,positive,70,2022,,,,,,
97,356fff80-da4d-4785-9f43-bc1261031dc6,heart,27/10/2020,27/10/2020 05:45,2020,10,photo,technology,positive,60,2056,,,,,,
98,356fff80-da4d-4785-9f43-bc1261031dc6,scared,15/10/2020,15/10/2020 09:11,2020,10,photo,technology,negative,15,2056,,,,,,
99,356fff80-da4d-4785-9f43-bc1261031dc6,heart,07/05/2021,07/05/2021 09:16,2021,5,photo,technology,positive,60,2138,,,,,,
100,356fff80-da4d-4785-9f43-bc1261031dc6,hate,16/09/2020,16/09/2020 08:39,2020,9,photo,technology,negative,5,2022,,,,,,
101,356fff80-da4d-4785-9f43-bc1261031dc6,indifferent,29/10/2020,29/10/2020 15:38,2020,10,photo,technology,neutral,20,2056,,,,,,
103,01ab84dd-6364-4236-abbb-3f237db77180,scared,24/05/2021,24/05/2021 18:03,2021,5,video,food,negative,15,2138,,,,,,
105,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,interested,25/02/2021,25/02/2021 20:02,2021,2,GIF,cooking,positive,30,1914,,,,,,
106,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,hate,02/05/2021,02/05/2021 03:45,2021,5,GIF,cooking,negative,5,2138,,,,,,
107,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,want,28/01/2021,28/01/2021 08:49,2021,1,GIF,cooking,positive,70,2126,,,,,,
108,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,15/02/2021,15/02/2021 13:06,2021,2,GIF,cooking,neutral,35,1914,,,,,,
109,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,04/11/2020,04/11/2020 21:25,2020,11,GIF,cooking,negative,10,2034,,,,,,
110,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,love,23/06/2020,23/06/2020 22:12,2020,6,GIF,cooking,positive,65,2021,,,,,,
111,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cherish,16/02/2021,16/02/2021 04:01,2021,2,GIF,cooking,positive,70,1914,,,,,,
112,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,interested,03/01/2021,03/01/2021 08:44,2021,1,GIF,cooking,positive,30,2126,,,,,,
113,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,25/11/2020,25/11/2020 12:45,2020,11,GIF,cooking,positive,72,2034,,,,,,
114,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,like,03/12/2020,03/12/2020 16:47,2020,12,GIF,cooking,positive,50,2092,,,,,,
115,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,like,22/05/2021,22/05/2021 21:03,2021,5,GIF,cooking,positive,50,2138,,,,,,
116,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cherish,18/01/2021,18/01/2021 13:39,2021,1,GIF,cooking,positive,70,2126,,,,,,
117,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,indifferent,06/01/2021,06/01/2021 00:35,2021,1,GIF,cooking,neutral,20,2126,,,,,,
118,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,14/05/2021,14/05/2021 14:33,2021,5,GIF,cooking,positive,72,2138,,,,,,
119,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,worried,27/05/2021,27/05/2021 15:21,2021,5,GIF,cooking,negative,12,2138,,,,,,
120,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,21/07/2020,21/07/2020 02:12,2020,7,GIF,cooking,neutral,35,2070,,,,,,
121,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,26/05/2021,26/05/2021 06:09,2021,5,GIF,cooking,negative,10,2138,,,,,,
122,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,25/02/2021,25/02/2021 03:16,2021,2,GIF,cooking,negative,10,1914,,,,,,
123,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,intrigued,07/12/2020,07/12/2020 22:50,2020,12,GIF,cooking,positive,45,2092,,,,,,
124,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,indifferent,24/10/2020,24/10/2020 14:06,2020,10,GIF,cooking,neutral,20,2056,,,,,,
125,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,01/09/2020,01/09/2020 21:18,2020,9,GIF,cooking,neutral,35,2022,,,,,,
126,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,10/05/2021,10/05/2021 22:07,2021,5,GIF,cooking,positive,72,2138,,,,,,
128,3f8590c7-6ab2-4973-805a-90cdec355f05,cherish,12/02/2021,12/02/2021 16:37,2021,2,video,dogs,positive,70,1914,,,,,,
129,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,28/04/2021,28/04/2021 15:22,2021,4,video,dogs,positive,60,1974,,,,,,
130,3f8590c7-6ab2-4973-805a-90cdec355f05,intrigued,24/01/2021,24/01/2021 00:38,2021,1,video,dogs,positive,45,2126,,,,,,
131,3f8590c7-6ab2-4973-805a-90cdec355f05,worried,18/03/2021,18/03/2021 01:53,2021,3,video,dogs,negative,12,2012,,,,,,
132,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,14/01/2021,14/01/2021 07:21,2021,1,video,dogs,negative,0,2126,,,,,,
133,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,23/12/2020,23/12/2020 04:11,2020,12,video,dogs,positive,60,2092,,,,,,
134,3f8590c7-6ab2-4973-805a-90cdec355f05,hate,21/05/2021,21/05/2021 07:23,2021,5,video,dogs,negative,5,2138,,,,,,
135,3f8590c7-6ab2-4973-805a-90cdec355f05,like,28/03/2021,28/03/2021 23:25,2021,3,video,dogs,positive,50,2012,,,,,,
136,3f8590c7-6ab2-4973-805a-90cdec355f05,peeking,16/09/2020,16/09/2020 07:33,2020,9,video,dogs,neutral,35,2022,,,,,,
137,3f8590c7-6ab2-4973-805a-90cdec355f05,indifferent,08/11/2020,08/11/2020 10:53,2020,11,video,dogs,neutral,20,2034,,,,,,
138,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,06/03/2021,06/03/2021 05:23,2021,3,video,dogs,positive,60,2012,,,,,,
139,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,13/01/2021,13/01/2021 23:35,2021,1,video,dogs,negative,0,2126,,,,,,
140,3f8590c7-6ab2-4973-805a-90cdec355f05,want,06/09/2020,06/09/2020 22:35,2020,9,video,dogs,positive,70,2022,,,,,,
141,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,24/06/2020,24/06/2020 09:31,2020,6,video,dogs,positive,30,2021,,,,,,
142,3f8590c7-6ab2-4973-805a-90cdec355f05,hate,07/02/2021,07/02/2021 21:39,2021,2,video,dogs,negative,5,1914,,,,,,
143,3f8590c7-6ab2-4973-805a-90cdec355f05,intrigued,21/01/2021,21/01/2021 18:28,2021,1,video,dogs,positive,45,2126,,,,,,
144,3f8590c7-6ab2-4973-805a-90cdec355f05,dislike,27/02/2021,27/02/2021 00:21,2021,2,video,dogs,negative,10,1914,,,,,,
145,3f8590c7-6ab2-4973-805a-90cdec355f05,worried,22/08/2020,22/08/2020 12:06,2020,8,video,dogs,negative,12,2114,,,,,,
146,3f8590c7-6ab2-4973-805a-90cdec355f05,cherish,03/08/2020,03/08/2020 06:29,2020,8,video,dogs,positive,70,2114,,,,,,
147,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,02/08/2020,02/08/2020 06:20,2020,8,video,dogs,negative,15,2114,,,,,,
148,3f8590c7-6ab2-4973-805a-90cdec355f05,want,04/06/2021,04/06/2021 04:57,2021,6,video,dogs,positive,70,2021,,,,,,
149,3f8590c7-6ab2-4973-805a-90cdec355f05,super love,21/10/2020,21/10/2020 09:07,2020,10,video,dogs,positive,75,2056,,,,,,
150,3f8590c7-6ab2-4973-805a-90cdec355f05,dislike,26/12/2020,26/12/2020 19:46,2020,12,video,dogs,negative,10,2092,,,,,,
151,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,02/03/2021,02/03/2021 22:47,2021,3,video,dogs,negative,15,2012,,,,,,
152,3f8590c7-6ab2-4973-805a-90cdec355f05,indifferent,31/03/2021,31/03/2021 09:48,2021,3,video,dogs,neutral,20,2012,,,,,,
153,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,14/06/2021,14/06/2021 13:44,2021,6,video,dogs,positive,30,2021,,,,,,
154,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,27/12/2020,27/12/2020 17:04,2020,12,video,dogs,negative,15,2092,,,,,,
155,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,11/02/2021,11/02/2021 03:51,2021,2,video,dogs,negative,15,1914,,,,,,
156,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,07/12/2020,07/12/2020 19:07,2020,12,video,dogs,positive,30,2092,,,,,,
157,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,28/12/2020,28/12/2020 08:31,2020,12,video,dogs,positive,30,2092,,,,,,
158,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,26/10/2020,26/10/2020 05:27,2020,10,video,dogs,positive,30,2056,,,,,,
159,3f8590c7-6ab2-4973-805a-90cdec355f05,worried,26/09/2020,26/09/2020 18:43,2020,9,video,dogs,negative,12,2022,,,,,,
160,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,25/11/2020,25/11/2020 13:01,2020,11,video,dogs,negative,15,2034,,,,,,
161,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,11/07/2020,11/07/2020 05:51,2020,7,video,dogs,positive,60,2070,,,,,,
162,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,19/03/2021,19/03/2021 16:23,2021,3,video,dogs,positive,60,2012,,,,,,
163,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,11/10/2020,11/10/2020 18:31,2020,10,video,dogs,positive,30,2056,,,,,,
164,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,02/11/2020,02/11/2020 20:15,2020,11,video,dogs,positive,60,2034,,,,,,
165,3f8590c7-6ab2-4973-805a-90cdec355f05,want,01/10/2020,01/10/2020 03:35,2020,10,video,dogs,positive,70,2056,,,,,,
166,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,11/02/2021,11/02/2021 20:10,2021,2,video,dogs,negative,0,1914,,,,,,
167,3f8590c7-6ab2-4973-805a-90cdec355f05,want,07/02/2021,07/02/2021 15:59,2021,2,video,dogs,positive,70,1914,,,,,,
168,3f8590c7-6ab2-4973-805a-90cdec355f05,hate,17/10/2020,17/10/2020 11:46,2020,10,video,dogs,negative,5,2056,,,,,,
169,3f8590c7-6ab2-4973-805a-90cdec355f05,like,09/08/2020,09/08/2020 19:41,2020,8,video,dogs,positive,50,2114,,,,,,
170,3f8590c7-6ab2-4973-805a-90cdec355f05,love,01/02/2021,01/02/2021 02:40,2021,2,video,dogs,positive,65,1914,,,,,,
171,3f8590c7-6ab2-4973-805a-90cdec355f05,adore,30/01/2021,30/01/2021 09:36,2021,1,video,dogs,positive,72,2126,,,,,,
173,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,want,31/03/2021,31/03/2021 15:24,2021,3,video,technology,positive,70,2012,,,,,,
174,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,super love,05/02/2021,05/02/2021 17:00,2021,2,video,technology,positive,75,1914,,,,,,
175,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,heart,19/02/2021,19/02/2021 16:29,2021,2,video,technology,positive,60,1914,,,,,,
176,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,worried,25/07/2020,25/07/2020 00:00,2020,7,video,technology,negative,12,2070,,,,,,
178,0bedca96-fb76-4287-a83c-17330ed39cce,adore,13/07/2020,13/07/2020 02:38,2020,7,photo,soccer,positive,72,2070,,,,,,
179,0bedca96-fb76-4287-a83c-17330ed39cce,indifferent,13/01/2021,13/01/2021 13:11,2021,1,photo,soccer,neutral,20,2126,,,,,,
180,0bedca96-fb76-4287-a83c-17330ed39cce,worried,02/01/2021,02/01/2021 16:46,2021,1,photo,soccer,negative,12,2126,,,,,,
181,0bedca96-fb76-4287-a83c-17330ed39cce,intrigued,26/11/2020,26/11/2020 02:25,2020,11,photo,soccer,positive,45,2034,,,,,,
182,0bedca96-fb76-4287-a83c-17330ed39cce,want,25/08/2020,25/08/2020 19:18,2020,8,photo,soccer,positive,70,2114,,,,,,
183,0bedca96-fb76-4287-a83c-17330ed39cce,hate,01/02/2021,01/02/2021 00:15,2021,2,photo,soccer,negative,5,1914,,,,,,
184,0bedca96-fb76-4287-a83c-17330ed39cce,love,04/06/2021,04/06/2021 14:36,2021,6,photo,soccer,positive,65,2021,,,,,,
185,0bedca96-fb76-4287-a83c-17330ed39cce,adore,19/08/2020,19/08/2020 13:38,2020,8,photo,soccer,positive,72,2114,,,,,,
186,0bedca96-fb76-4287-a83c-17330ed39cce,cherish,22/04/2021,22/04/2021 02:08,2021,4,photo,soccer,positive,70,1974,,,,,,
187,0bedca96-fb76-4287-a83c-17330ed39cce,super love,26/06/2020,26/06/2020 10:33,2020,6,photo,soccer,positive,75,2021,,,,,,
188,0bedca96-fb76-4287-a83c-17330ed39cce,like,15/08/2020,15/08/2020 18:16,2020,8,photo,soccer,positive,50,2114,,,,,,
